mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
victim_stream,test-math,2048,2097152,1803,23018.0,0.2795
victim_stream,test-fmath,32768,2097152,471,1138.0,0.4204
victim_stream,test-llong,32768,2097152,440,789.0,0.45
victim_stream,test-lswlr,32768,2097152,435,725.0,0.4575
victim_stream,test-math,32768,2097152,544,1586.0,0.386
stream,test-fmath,8192,16777216,580,2652.0,0.6138
stream,test-llong,8192,16777216,481,1535.0,0.7339
stream,test-lswlr,8192,16777216,461,1333.0,0.7592
stream,test-math,8192,16777216,806,4555.0,0.4988
victim_stream,test-fmath,512,16777216,1665,19708.0,0.3249
victim_stream,test-llong,512,16777216,637,4506.0,0.6405
victim_stream,test-lswlr,512,16777216,516,2895.0,0.7364
victim_stream,test-math,512,16777216,6749,91035.0,0.2071
miss_stream,test-fmath,2048,8388608,604,3119.0,0.596
miss_stream,test-llong,2048,8388608,492,1862.0,0.7134
miss_stream,test-lswlr,2048,8388608,470,1603.0,0.7468
miss_stream,test-math,2048,8388608,1539,11114.0,0.2788
victim_stream,test-fmath,512,16777216,1369,9148.0,0.3221
victim_stream,test-llong,512,16777216,603,2658.0,0.6235
victim_stream,test-lswlr,512,16777216,499,1887.0,0.7074
victim_stream,test-math,512,16777216,5086,39667.0,0.1583
victim_stream,test-fmath,512,16777216,1547,4306.0,0.1655
victim_stream,test-llong,512,16777216,626,1660.0,0.3466
victim_stream,test-lswlr,512,16777216,508,1333.0,0.3957
victim_stream,test-math,512,16777216,6169,16563.0,0.0968
victim_stream,test-fmath,512,16777216,1547,4306.0,0.1655
victim_stream,test-llong,512,16777216,626,1660.0,0.3466
victim_stream,test-lswlr,512,16777216,508,1333.0,0.3957
victim_stream,test-math,512,16777216,6169,16563.0,0.0968
miss_stream,test-fmath,32768,2097152,471,1288.0,0.6306
miss_stream,test-llong,32768,2097152,440,873.0,0.6773
miss_stream,test-lswlr,32768,2097152,435,805.0,0.6828
miss_stream,test-math,32768,2097152,544,1830.0,0.5809
miss_stream,test-fmath,32768,2097152,471,1288.0,0.6306
miss_stream,test-llong,32768,2097152,440,873.0,0.6773
miss_stream,test-lswlr,32768,2097152,435,805.0,0.6828
miss_stream,test-math,32768,2097152,544,1830.0,0.5809
miss_stream,test-fmath,8192,4194304,513,1486.0,0.3899
miss_stream,test-llong,8192,4194304,481,1073.0,0.4158
miss_stream,test-lswlr,8192,4194304,461,965.0,0.436
miss_stream,test-math,8192,4194304,806,2493.0,0.2742
victim_stream,test-fmath,32768,4194304,471,2112.0,0.7983
victim_stream,test-llong,32768,4194304,440,1393.0,0.8455
victim_stream,test-lswlr,32768,4194304,435,1277.0,0.8529
victim_stream,test-math,32768,4194304,544,3254.0,0.7316
victim_stream,test-fmath,2048,2097152,702,3807.0,0.5299
victim_stream,test-llong,2048,2097152,522,2078.0,0.6782
victim_stream,test-lswlr,2048,2097152,477,1659.0,0.7358
victim_stream,test-math,2048,2097152,1803,12954.0,0.2568
